year,country_code,country_name,economic_freedom_summary_index,rank,quartile,government_consumption,data,transfers_and_subsidies,data_1,government_investment,data_2,top_marginal_income_tax_rate,data_3,top_marginal_income_and_payroll_tax_rate,data_4,top_marginal_tax_rate,state_ownership_of_assets,size_of_government,area_1_rank,judicial_independence,impartial_courts,protection_of_property_rights,military_interference_in_rule_of_law_and_politics,integrity_of_the_legal_system,legal_enforcement_of_contracts,regulatory_restrictions_on_the_sale_of_real_property,reliability_of_police,gender_legal_rights_adjustment,legal_sys_&_prop__rights_(adj_),area_2_rank,money_growth,data_5,standard_deviation_of_inflation,data_6,inflation:_most_recent_year,data_7,freedom_to_own_foreign_currency_bank_accounts,sound_money,area_3_rank,revenue_from_trade_taxes_(%_of_trade_sector),data_8,mean_tariff_rate,data_9,standard_deviation_of_tariff_rates,data_10,tariffs,non-tariff_trade_barriers,compliance_costs_of_importing_and_exporting,regulatory_trade_barriers,black_market_exchange_rates,financial_openness,capital_controls,freedom_of_foreigners_to_visit,protection_of_foreign_assets,controls_of_the_movement_of_capital_and_people,freedom_to_trade_internationally,area_4_rank,ownership_of_banks,private_sector_credit,interest_rate_controls/negative_real_interest_rates),credit_market_regulations,hiring_regulations_and_minimum_wage,hiring_and_firing_regulations,centralized_collective_bargaining,hours_regulations,mandated_cost_of_worker_dismissal,conscription,foreign_labor,labor_market_regulations,regulatory_burden,bureacracy_costs,impartial_public_administration,tax_compliance,business_regulations,market_openness,business_permits,distorton_of_the_business_environment,freedom_to_enter_markets_and_compete,regulation,area_5_rank
2021,AUT,Austria,7.67,26.0,1.0,2.81,30.44,1.98,29.92,10.0,13.78,4.0,55.00,3.0,59.00,3.5,6.38,4.93,152.0,7.76,7.71,9.31,10.0,9.03,7.16,8.1,9.3,1.0,8.55,10.0,6.97,15.16,9.85,0.39,8.89,2.77,10.0,8.93,51,9.58,0.63,8.98,5.1,6.61,8.48,8.39,7.08,9.98,8.53,10.0,10.0,3.08,8.85,8.45,7.59,8.63,11.0,8.0,8.03,10.0,8.68,8.2,8.75,2.49,6.0,10.00,3.0,4.75,6.17,4.47,7.33,8.94,6.77,6.88,7.94,7.3,7.22,7.48,7.3,34
2021,BEL,Belgium,7.42,45.0,2.0,2.15,32.7,1.49,31.73,10.0,11.43,2.0,50-55,0.0,66-69,1.0,8.01,4.53,160.0,7.72,7.29,8.93,10.0,8.26,6.86,4.9,7.55,1.0,7.69,20.0,6.93,15.33,9.74,0.64,9.02,2.44,10.0,8.93,53,9.58,0.63,8.98,5.1,6.61,8.48,8.39,7.82,9.98,8.9,10.0,10.0,3.85,0.0,8.93,5.69,8.25,34.0,8.0,7.99,10.0,8.66,6.95,7.5,5.85,6.0,10.00,10.0,6.81,7.59,3.5,7.78,9.26,6.74,6.82,8.07,7.46,7.5,7.68,7.69,20
2021,BGR,Bulgaria,7.47,40.0,1.0,4.55,24.52,4.88,19.3,9.15,17.98,10.0,10.00,7.0,35.00,8.5,7.92,7.0,61.0,5.6,4.46,5.15,8.33,5.5,3.79,8.72,4.88,1.0,5.81,56.0,8.57,7.14,9.39,1.53,8.68,3.3,10.0,9.16,32,9.58,0.63,8.98,5.1,6.61,8.48,8.39,6.46,9.85,8.16,10.0,7.83,4.62,8.85,6.4,6.92,8.37,25.0,10.0,8.03,9.0,9.01,5.28,7.13,7.18,6.0,9.25,10.0,5.11,7.14,4.52,5.33,5.01,3.78,4.66,6.06,9.33,6.25,7.21,7.0,50
2021,CYP,Republic of Cyprus,7.5,36.0,1.0,4.46,24.84,4.7,19.95,10.0,13.05,7.0,35.00,6.0,39.00,6.5,7.85,6.7,75.0,6.81,6.57,7.06,8.33,7.97,4.5,7.3,6.95,0.94,6.73,38.0,5.77,21.17,9.41,1.47,9.02,2.45,10.0,8.55,79,9.58,0.63,8.98,5.1,6.61,8.48,8.39,8.4,9.32,8.86,10.0,8.75,6.15,0.0,8.16,5.77,8.25,33.0,10.0,8.56,10.0,9.52,5.28,7.5,6.29,10.0,10.00,1.0,4.82,6.41,4.45,8.22,7.5,9.33,7.37,6.19,5.0,6.25,5.81,7.28,36
2021,CZE,Czech Republic,7.78,18.0,1.0,2.31,32.15,4.1,22.14,9.12,18.09,9.0,23.00,5.0,45.00,7.0,8.54,6.21,109.0,6.81,6.0,8.12,10.0,7.83,4.52,8.17,7.3,1.0,7.34,26.0,8.72,6.38,9.54,1.16,8.46,3.84,10.0,9.18,29,9.58,0.63,8.98,5.1,6.61,8.48,8.39,8.27,9.98,9.13,10.0,10.0,3.08,8.85,8.97,7.72,8.81,4.0,10.0,8.22,9.0,9.07,6.95,6.38,7.82,10.0,7.76,10.0,4.89,7.69,2.91,6.0,7.21,5.17,5.32,7.3,6.91,7.5,7.24,7.33,31
2021,DEU,Germany,7.7,24.0,1.0,2.69,30.86,1.75,30.77,10.0,12.06,5.0,47.00,5.0,47.00,5.0,8.56,5.6,134.0,7.53,8.45,8.59,10.0,8.6,8.03,6.85,7.17,1.0,8.15,14.0,7.01,14.93,9.73,0.67,8.74,3.14,10.0,8.87,59,9.58,0.63,8.98,5.1,6.61,8.48,8.39,8.28,9.18,8.73,10.0,10.0,3.08,0.0,8.47,5.39,8.13,43.0,5.0,8.84,10.0,7.95,6.95,5.63,6.01,8.0,6.26,10.0,6.89,7.1,5.69,7.11,9.91,7.53,7.56,8.64,8.86,7.5,8.34,7.74,19
2021,DNK,Denmark,8.1,6.0,1.0,1.54,34.76,4.87,19.34,10.0,14.67,3.0,52.00,2.0,56.00,2.5,7.44,5.27,144.0,8.53,8.81,9.17,10.0,9.62,7.71,9.73,9.04,1.0,9.08,2.0,9.54,2.3,9.62,0.96,9.26,1.85,10.0,9.6,5,9.58,0.63,8.98,5.1,6.61,8.48,8.39,7.1,9.98,8.54,10.0,10.0,6.92,0.0,8.73,6.41,8.34,29.0,10.0,10.0,8.0,9.33,8.75,10.0,5.59,8.0,10.00,3.0,6.0,7.33,4.79,6.44,9.27,8.01,7.13,8.71,9.87,8.75,9.11,8.23,5
2021,ESP,Spain,7.51,35.0,1.0,3.7,27.41,3.43,24.6,10.0,13.66,5.0,47.00,5.0,47.00,5.0,7.8,5.99,121.0,7.04,6.26,8.15,8.33,8.44,5.19,7.75,8.18,1.0,7.42,23.0,6.7,16.52,9.8,0.5,8.76,3.09,10.0,8.81,62,9.58,0.63,8.98,5.1,6.61,8.48,8.39,7.05,9.98,8.52,10.0,10.0,3.08,0.0,8.38,5.36,8.07,49.0,10.0,6.92,10.0,8.97,4.45,5.03,6.8,8.0,5.07,10.0,6.61,6.57,3.14,5.78,9.03,6.7,6.16,7.38,8.51,6.25,7.38,7.27,37
2021,EST,Estonia,7.91,14.0,1.0,3.19,29.15,5.5,17.01,8.76,19.35,10.0,20.00,4.0,42.00,7.0,7.66,6.42,94.0,7.94,6.78,8.69,8.33,7.72,6.74,9.5,7.91,1.0,7.95,16.0,7.32,13.41,9.06,2.34,8.14,4.65,10.0,8.63,69,9.58,0.63,8.98,5.1,6.61,8.48,8.39,8.24,9.94,9.09,10.0,10.0,5.38,0.0,8.91,6.07,8.39,21.0,10.0,9.17,9.0,9.39,7.08,7.35,8.67,4.0,9.25,3.0,4.4,6.25,5.2,8.67,9.62,9.72,8.3,8.08,9.24,8.75,8.69,8.16,9
2021,FIN,Finland,7.8,17.0,1.0,2.24,32.37,3.49,24.41,9.23,17.7,3.0,48-54,2.0,54-59,2.5,7.24,4.94,151.0,8.6,8.43,9.67,10.0,9.67,7.53,7.52,9.77,1.0,8.9,5.0,6.81,15.94,9.74,0.65,9.12,2.19,10.0,8.92,56,9.58,0.63,8.98,5.1,6.61,8.48,8.39,7.72,9.13,8.43,10.0,10.0,3.08,0.0,8.83,5.48,8.07,48.0,10.0,8.88,10.0,9.63,5.7,8.75,2.8,8.0,10.00,3.0,6.17,6.35,6.49,6.67,9.07,8.25,7.62,9.89,9.86,7.5,9.08,8.17,8
